Channel,Barcode,Lifetime,Prediction,CI_Lo,CI_Hi,Policy,,,Policy-specific variance,
16,1.51E+11,667,693,445,1079,3.7C(31%)-5.9C-newstructure,,,13377,
30,1.51E+11,772,764,551,1059,3.7C(31%)-5.9C-newstructure,,,,
38,1.51E+11,541,578,416,803,3.7C(31%)-5.9C-newstructure,,,,
11,1.51E+11,1063,991,750,1309,5.3C(54%)-4C-newstructure,,,9442.410714,
19,1.51E+11,1039,813,646,1023,5.3C(54%)-4C-newstructure,,,,
27,1.51E+11,1169,1123,0,3381883,5.3C(54%)-4C-newstructure,,,,
35,1.51E+11,989,812,604,1091,5.3C(54%)-4C-newstructure,,,,
3,1.51E+11,935,949,730,1233,5.3C(54%)-4C-newstructure,,,,
43,1.51E+11,1158,959,706,1303,5.3C(54%)-4C-newstructure,,,,
48,1.51E+11,1156,1077,2,594947,5.3C(54%)-4C-newstructure,,,,
8,1.51E+11,940,918,736,1145,5.3C(54%)-4C-newstructure,,,,
12,1.51E+11,1207,1614,0,1.76E+25,5.6C(19%)-4.6C-newstructure,,,26366.125,
14,1.51E+11,1048,1053,796,1392,5.6C(19%)-4.6C-newstructure,,,,
20,1.51E+11,817,744,544,1019,5.6C(19%)-4.6C-newstructure,,,,
22,1.51E+11,816,866,681,1102,5.6C(19%)-4.6C-newstructure,,,,
28,1.51E+11,1146,968,721,1300,5.6C(19%)-4.6C-newstructure,,,,
36,1.51E+11,1028,908,663,1244,5.6C(19%)-4.6C-newstructure,,,,
44,1.51E+11,1093,931,657,1319,5.6C(19%)-4.6C-newstructure,,,,
4,1.51E+11,796,948,656,1369,5.6C(19%)-4.6C-newstructure,,,,
13,1.51E+11,1115,865,591,1266,5.6C(36%)-4.3C-newstructure,,,18231.55357,
15,1.51E+11,828,786,334,1850,5.6C(36%)-4.3C-newstructure,,,,
21,1.51E+11,932,804,652,991,5.6C(36%)-4.3C-newstructure,,,,
23,1.51E+11,858,853,680,1069,5.6C(36%)-4.3C-newstructure,,,,
29,1.51E+11,1155,936,716,1223,5.6C(36%)-4.3C-newstructure,,,,
37,1.51E+11,850,856,484,1516,5.6C(36%)-4.3C-newstructure,,,,
45,1.51E+11,923,911,465,1784,5.6C(36%)-4.3C-newstructure,,,,
5,1.51E+11,786,809,534,1225,5.6C(36%)-4.3C-newstructure,,,,
24,1.51E+11,876,836,617,1133,5.9C(15%)-4.6C-newstructure,,,162,
39,1.51E+11,858,966,468,1995,5.9C(15%)-4.6C-newstructure,,,,
32,1.51E+11,1002,782,576,1062,5.9C(60%)-3.1C-newstructure,,,36720.5,
40,1.51E+11,731,720,575,902,5.9C(60%)-3.1C-newstructure,,,,
10,1.51E+11,1009,1042,808,1343,5C(67%)-4C-newstructure,,,27771.76667,
18,1.51E+11,828,893,702,1136,5C(67%)-4C-newstructure,,,,
2,1.51E+11,813,879,693,1116,5C(67%)-4C-newstructure,,,,
34,1.51E+11,825,792,593,1057,5C(67%)-4C-newstructure,,,,
42,1.51E+11,1228,1115,690,1802,5C(67%)-4C-newstructure,,,,
7,1.51E+11,1046,1318,0,4.81E+35,5C(67%)-4C-newstructure,,,,
,Mean = ,947.1081081,,,,,,Mean var=,18867.33656,
,Median = ,935,,,,,,Median var=,18231.55357,sigma^2-pred sigma^2
,Variance = ,26925.43243,eta^2,,,,,,,