sim mode,gamma,epsilon,beta,seed,mean lifetime,
lo,0.01,0.7,3.54107,1,916,
lo,0.01,0.7,3.54107,2,917,
lo,0.01,0.7,3.54107,3,931,
lo,0.01,0.7,3.54107,4,917,
lo,0.01,0.7,3.54107,5,926,
lo,0.01,0.7,3.54107,6,926,
lo,0.01,0.7,3.54107,7,930,
lo,0.01,0.7,3.54107,8,926,
lo,0.01,0.7,3.54107,9,924,
lo,0.01,0.75,1.77588,1,916,
lo,0.01,0.75,1.77588,2,917,
lo,0.01,0.75,1.77588,3,931,
lo,0.01,0.75,1.77588,4,917,
lo,0.01,0.75,1.77588,5,933,
lo,0.01,0.75,1.77588,6,926,
lo,0.01,0.75,1.77588,7,930,
lo,0.01,0.75,1.77588,8,926,
lo,0.01,0.75,1.77588,9,920,
lo,0.01,0.8,0.93135,1,917,
lo,0.01,0.8,0.93135,2,917,
lo,0.01,0.8,0.93135,3,931,
lo,0.01,0.8,0.93135,4,906,
lo,0.01,0.8,0.93135,5,933,
lo,0.01,0.8,0.93135,6,926,
lo,0.01,0.8,0.93135,7,930,
lo,0.01,0.8,0.93135,8,926,
lo,0.01,0.8,0.93135,9,920,
lo,0.01,0.85,0.50794,1,917,
lo,0.01,0.85,0.50794,2,927,
lo,0.01,0.85,0.50794,3,931,
lo,0.01,0.85,0.50794,4,906,
lo,0.01,0.85,0.50794,5,933,
lo,0.01,0.85,0.50794,6,926,
lo,0.01,0.85,0.50794,7,926,
lo,0.01,0.85,0.50794,8,930,
lo,0.01,0.85,0.50794,9,926,
lo,0.01,0.9,0.2868,1,917,
lo,0.01,0.9,0.2868,2,927,
lo,0.01,0.9,0.2868,3,933,
lo,0.01,0.9,0.2868,4,905,
lo,0.01,0.9,0.2868,5,933,
lo,0.01,0.9,0.2868,6,926,
lo,0.01,0.9,0.2868,7,931,
lo,0.01,0.9,0.2868,8,938,
lo,0.01,0.9,0.2868,9,920,
lo,0.1,0.7,3.54107,1,920,
lo,0.1,0.7,3.54107,2,916,
lo,0.1,0.7,3.54107,3,926,
lo,0.1,0.7,3.54107,4,920,
lo,0.1,0.7,3.54107,5,920,
lo,0.1,0.7,3.54107,6,920,
lo,0.1,0.7,3.54107,7,929,
lo,0.1,0.7,3.54107,8,926,
lo,0.1,0.7,3.54107,9,924,
lo,0.1,0.75,1.77588,1,920,
lo,0.1,0.75,1.77588,2,920,
lo,0.1,0.75,1.77588,3,926,
lo,0.1,0.75,1.77588,4,920,
lo,0.1,0.75,1.77588,5,920,
lo,0.1,0.75,1.77588,6,920,
lo,0.1,0.75,1.77588,7,929,
lo,0.1,0.75,1.77588,8,926