sim mode,gamma,epsilon,beta,likelihood_std,seed,mean lifetime,
hi,20.0,0.8,0.93135,10.0,0,1175,
hi,20.0,0.8,0.93135,10.0,1,1208,
hi,20.0,0.8,0.93135,10.0,2,1208,
hi,20.0,0.8,0.93135,10.0,3,1172,
hi,20.0,0.8,0.93135,10.0,4,1172,
hi,20.0,0.8,0.93135,10.0,5,1186,
hi,20.0,0.8,0.93135,10.0,6,1208,
hi,20.0,0.8,0.93135,10.0,7,1182,
hi,20.0,0.8,0.93135,10.0,8,1172,
hi,20.0,0.8,0.93135,10.0,9,1208,
hi,20.0,0.8,0.93135,20.0,0,1175,
hi,20.0,0.8,0.93135,20.0,1,1208,
hi,20.0,0.8,0.93135,20.0,2,1208,
hi,20.0,0.8,0.93135,20.0,3,1172,
hi,20.0,0.8,0.93135,20.0,4,1172,
hi,20.0,0.8,0.93135,20.0,5,1186,
hi,20.0,0.8,0.93135,20.0,6,1208,
hi,20.0,0.8,0.93135,20.0,7,1182,
hi,20.0,0.8,0.93135,20.0,8,1172,
hi,20.0,0.8,0.93135,20.0,9,1208,
hi,20.0,0.8,0.93135,30.0,0,1175,
hi,20.0,0.8,0.93135,30.0,1,1208,
hi,20.0,0.8,0.93135,30.0,2,1208,
hi,20.0,0.8,0.93135,30.0,3,1172,
hi,20.0,0.8,0.93135,30.0,4,1175,
hi,20.0,0.8,0.93135,30.0,5,1186,
hi,20.0,0.8,0.93135,30.0,6,1208,
hi,20.0,0.8,0.93135,30.0,7,1182,
hi,20.0,0.8,0.93135,30.0,8,1172,
hi,20.0,0.8,0.93135,30.0,9,1208,
hi,20.0,0.8,0.93135,50.0,0,1175,
hi,20.0,0.8,0.93135,50.0,1,1208,
hi,20.0,0.8,0.93135,50.0,2,1175,
hi,20.0,0.8,0.93135,50.0,3,1172,
hi,20.0,0.8,0.93135,50.0,4,1175,
hi,20.0,0.8,0.93135,50.0,5,1186,
hi,20.0,0.8,0.93135,50.0,6,1208,
hi,20.0,0.8,0.93135,50.0,7,1182,
hi,20.0,0.8,0.93135,50.0,8,1113,
hi,20.0,0.8,0.93135,50.0,9,1182,
hi,20.0,0.8,0.93135,80.0,0,1175,
hi,20.0,0.8,0.93135,80.0,1,1208,
hi,20.0,0.8,0.93135,80.0,2,1182,
hi,20.0,0.8,0.93135,80.0,3,1172,
hi,20.0,0.8,0.93135,80.0,4,1175,
hi,20.0,0.8,0.93135,80.0,5,1182,
hi,20.0,0.8,0.93135,80.0,6,1208,
hi,20.0,0.8,0.93135,80.0,7,1186,
hi,20.0,0.8,0.93135,80.0,8,1208,
hi,20.0,0.8,0.93135,80.0,9,1182,
hi,20.0,0.8,0.93135,100.0,0,1175,
hi,20.0,0.8,0.93135,100.0,1,1208,
hi,20.0,0.8,0.93135,100.0,2,1182,
hi,20.0,0.8,0.93135,100.0,3,1208,
hi,20.0,0.8,0.93135,100.0,4,1175,
hi,20.0,0.8,0.93135,100.0,5,1186,
hi,20.0,0.8,0.93135,100.0,6,1208,
hi,20.0,0.8,0.93135,100.0,7,1182,
hi,20.0,0.8,0.93135,100.0,8,1208,
hi,20.0,0.8,0.93135,100.0,9,1182,
hi,20.0,0.8,0.93135,150.0,0,1175,
hi,20.0,0.8,0.93135,150.0,1,1208,
hi,20.0,0.8,0.93135,150.0,2,1118,
hi,20.0,0.8,0.93135,150.0,3,1172,
hi,20.0,0.8,0.93135,150.0,4,1075,
hi,20.0,0.8,0.93135,150.0,5,1186,
hi,20.0,0.8,0.93135,150.0,6,1172,
hi,20.0,0.8,0.93135,150.0,7,1173,
hi,20.0,0.8,0.93135,150.0,8,1208,
hi,20.0,0.8,0.93135,150.0,9,1182,
hi,20.0,0.8,0.93135,200.0,0,1175,
hi,20.0,0.8,0.93135,200.0,1,1208,
hi,20.0,0.8,0.93135,200.0,2,1118,
hi,20.0,0.8,0.93135,200.0,3,1172,
hi,20.0,0.8,0.93135,200.0,4,1075,
hi,20.0,0.8,0.93135,200.0,5,1186,
hi,20.0,0.8,0.93135,200.0,6,1172,
hi,20.0,0.8,0.93135,200.0,7,1173,
hi,20.0,0.8,0.93135,200.0,8,1208,
hi,20.0,0.8,0.93135,200.0,9,1182,
hi,20.0,0.8,0.93135,250.0,0,1175,
hi,20.0,0.8,0.93135,250.0,1,1208,
hi,20.0,0.8,0.93135,250.0,2,1118,
hi,20.0,0.8,0.93135,250.0,3,1172,
hi,20.0,0.8,0.93135,250.0,4,1075,
hi,20.0,0.8,0.93135,250.0,5,1182,
hi,20.0,0.8,0.93135,250.0,6,1172,
hi,20.0,0.8,0.93135,250.0,7,1173,
hi,20.0,0.8,0.93135,250.0,8,1208,
hi,20.0,0.8,0.93135,250.0,9,1182